2016-08-08 20:15:28,792 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 20:15:28,857 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 20:15:28,860 [Worker-12] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 20:15:28,877 [Worker-12] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 20:16:35,657 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 20:16:35,671 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 20:16:35,673 [Worker-16] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 20:16:35,678 [Worker-16] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 20:18:30,909 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 20:18:30,912 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 20:18:30,913 [Worker-9] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 20:18:30,915 [Worker-9] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 23:20:34,557 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 23:20:34,560 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 23:20:34,562 [Worker-42] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 23:20:34,564 [Worker-42] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 23:21:28,613 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 23:21:28,615 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 23:21:28,624 [Worker-39] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 23:21:28,626 [Worker-39] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 23:22:20,494 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 23:22:20,496 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 23:22:20,500 [Worker-41] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2016-08-08 23:22:20,502 [Worker-41] INFO  o.e.m.c.i.embedder.EclipseLogger - Copying 0 resource
2016-08-08 23:22:53,760 [Worker-42] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update started
2016-08-08 23:22:57,021 [Worker-42] INFO  o.e.m.c.i.l.LifecycleMappingFactory - Using org.eclipse.m2e.jdt.JarLifecycleMapping lifecycle mapping for MavenProject: javaparaweb:exemploshibernate:0.0.1-SNAPSHOT @ C:\Desenvolvimento\Pjw\exemploshibernate\pom.xml.
2016-08-08 23:22:58,199 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /exemploshibernate/src/main/java
2016-08-08 23:22:58,200 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /exemploshibernate/src/main/resources
2016-08-08 23:22:58,201 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding source folder /exemploshibernate/src/test/java
2016-08-08 23:22:58,202 [Worker-42] INFO  o.e.m.j.i.AbstractJavaProjectConfigurator - Adding resource folder /exemploshibernate/src/test/resources
2016-08-08 23:22:58,680 [Worker-42] INFO  o.e.m.c.i.p.ProjectConfigurationManager - Update completed: 4 sec
2016-08-08 23:22:59,403 [Worker-43] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
